plate_barcode,well_description,image_description,object_description,pattern_description,AreaShape_compactness
110000106828,A01,1,294,Cells,1.02553157923151
110000106828,A01,1,157,Cells,2.31116691739334
110000106828,A01,1,103,Cells,1.36958830605396
110000106828,A01,1,248,Cells,1.0313546467999
110000106828,A01,1,362,Cells,1.04164581757244
110000106828,A01,1,62,Cells,1.09520370872588
110000106828,A01,1,227,Cells,1.07368921166657
110000106828,A01,1,527,Cells,1.02310442907683
110000106828,A01,1,209,Cells,1.05185500250137
110000106828,A01,1,247,Cells,1.1197219990432
110000106828,A01,1,454,Cells,1.32296656038805
110000106828,A01,1,455,Cells,1.89116375750967
110000106828,A01,1,151,Cells,1.51103293646816
110000106828,A01,1,434,Cells,1.6987749928802
110000106828,A01,1,171,Cells,1.34613017736175
110000106828,A01,1,30,Cells,1.70669833079271
110000106828,A01,1,207,Cells,1.06929825156206
110000106828,A01,1,33,Cells,1.59969738519469
110000106828,A01,1,382,Cells,1.11884946122241
110000106828,A01,1,411,Cells,1.2927469133304
110000106828,A01,1,89,Cells,1.5140077050404
110000106828,A01,1,408,Cells,1.16001874575018
110000106828,A01,1,384,Cells,1.67466146199923
110000106828,A01,1,17,Cells,1.07230291929648
110000106828,A01,1,496,Cells,1.38893691777163
110000106828,A01,1,99,Cells,1.4362175421986
110000106828,A01,1,297,Cells,1.74276127088639
110000106828,A01,1,530,Cells,1.7536513654082
110000106828,A01,1,187,Cells,1.53679592812523
110000106828,A01,1,19,Cells,1.53476564115493
110000106828,A01,1,42,Cells,1.16675914190903
110000106828,A01,1,256,Cells,1.82468154929633
110000106828,A01,1,370,Cells,1.77778898264466
110000106828,A01,1,35,Cells,1.19649717278206
