plate_barcode,well_description,image_description,object_description,pattern_description,channel_description,Intensity_first_quartile,Intensity_integrated,Intensity_maximum,Intensity_median,Intensity_minimum
110000106828,A01,1,194,Cells,Alexa568,0.00311737466836348,6.21851878479356,0.0427772849798203,0.00473477761261165,0.000961805286351591
110000106828,A01,1,28,Cells,Alexa568,0.00357912556501105,11.1577950268111,0.0495889075100422,0.00620743911713362,0.000321918778354302
110000106828,A01,1,372,Cells,Alexa568,0.00763733871281147,10.2942343030008,0.0661350786685944,0.0151895312592387,0.000755184621084482
110000106828,A01,1,516,Cells,Alexa568,0.00399678107351065,11.6374417965417,0.0467899143695831,0.0066144629381597,0.000440964184235781
110000106828,A01,1,252,Cells,Alexa568,0.0021988027729094,7.19834670465207,0.0534232817590237,0.00394456414505839,0.000831944344099611
110000106828,A01,1,44,Cells,Alexa568,0.00295698153786361,12.8427250722307,0.0750737115740776,0.00589751079678535,0.000616236764471978
110000106828,A01,1,431,Cells,Alexa568,0.00308232242241502,15.3886021048529,0.0872358307242394,0.00460254680365324,0.000411993591114879
110000106828,A01,1,378,Cells,Alexa568,0.0100103227887303,19.7761088957777,0.0843521729111671,0.0153820174746215,0.000999309937469661
110000106828,A01,1,221,Cells,Alexa568,0.00359154539182782,9.14689567685127,0.0472218953073025,0.00588654819875956,0.000753777392674238
110000106828,A01,1,311,Cells,Alexa568,0.00264523713849485,11.8626450774027,0.0537688657641411,0.00604519201442599,0.000665564264636487
110000106828,A01,1,363,Cells,Alexa568,0.00515566114336252,8.34047786099836,0.0604091212153435,0.00995353795588016,0.00111039413604885
110000106828,A01,1,345,Cells,Alexa568,0.00395706295967102,10.0872087274911,0.0547962263226509,0.00572065636515617,0.000682460609823465
110000106828,A01,1,50,Cells,Alexa568,0.00425362854730338,11.5197305422626,0.0720670074224472,0.0079321707598865,0.000589444185607135
110000106828,A01,1,100,Cells,Alexa568,0.00174608154338785,21.0252342842869,0.0885410755872726,0.00244854134507477,0.000520495523232967
110000106828,A01,1,426,Cells,Alexa568,0.004738197196275,7.85179719142616,0.0415838956832886,0.00922417081892491,0.00082152767572552
110000106828,A01,1,329,Cells,Alexa568,0.00478443771135062,11.2855226011598,0.0539289899170399,0.00614110613241792,0.000906794506590813
110000106828,A01,1,374,Cells,Alexa568,0.00309158442541957,13.1355889154947,0.0626949742436409,0.00563544034957886,0.000559410837013274
110000106828,A01,1,520,Cells,Alexa568,0.00356463575735688,10.283326617151,0.0435965619981289,0.00709234783425927,0.000644166546408087
110000106828,A01,1,143,Cells,Alexa568,0.00177846674341708,18.6245604417054,0.0936698317527771,0.00406846636906266,0.000507390184793621
